id,english,tunisian
10176152,How did you get into this room?,كيفاش دخلت للبيت هاذي؟
10176153,Tom's generosity knew no bounds.,كرم توم ما عندوش حدود.
10176154,This cheese needs to be thrown out.,هالفرماج هاذا يلزم يتكبّ.
10176155,Look what I found when I was cleaning out the garage.,شوف شلّقيت كي كنت نضف في الكراج.
10176156,Where did you buy this motorcycle?,منين شريت هالموتور؟
10176157,Most of us thought it was a good plan.,أغلبنا فكرناها خطة باهية.
10176158,Most of us thought that it was a good plan.,أغلبنا فكّر إنها كانت خطة باهية.
10176162,Do you have a highlighter that I could borrow?,عندك ماركر نجم نستعيرو؟
10176164,We'll need to replace the front bumper.,باش نبدلو البارشوكا القدّامية.
10176172,Is Tom planning on getting a job anytime soon?,هل توم ناوي يخدم قريب؟
10176174,Is Tom actively looking for a job?,هل توم قاعد يقلب على خدمة؟
10176183,Where did they buy this motorcycle?,منين شراو هالموتور؟
10176186,Where did she buy this motorcycle?,منين شرت هالموتور؟
10176242,I wish I'd had more time to talk.,كنت نتمنى لو كان عندي وقت أكثر باش نحكي.
10176244,We're opening a new branch in Boston next month.,باش نفتحو فرع جديد في بوسطن الشهر الجاي.
10176245,A new branch is opening next month in Boston.,فرع جديد باش يفتح الشهر الجاي في بوسطن.
10176258,Is Tom back with Mary?,هل توم رجع مع ماري؟
10176277,She hasn't cleaned his room yet.,مازال ما نضفتش بيتو.
10176325,Martin Scorsese is my favorite director.,مارتن سكورسيزي هو المخرج المفضّل عندي.
10176329,Tom can play the balalaika.,توم ينجم يعزف على البالالايكا.
10176330,Tom knows how to play the balalaika.,توم يعرف كيفاش يعزف على البالالايكا.
10176331,We were told to sit here.,قالولنا نقعدوا هنا.
10176332,Tom didn't leave anything for me.,توم ما خلّى لي شي.
10176360,They refused to meet Tom.,رفضوا يقابلوا توم.
10176372,Dasha and Anya made their own visual novel.,داشا وأنيا عملوا روايتهم المرئية الخاصة.
10176376,"This visual novel has 21 endings, and they're all happy endings!",هالرواية البصرية فيها 21 نهاية، وكلهم نهايات سعيدة!
10176378,The rumors are unfounded.,الإشاعات ما عندهاش أساس.
10176380,Accidents are allowed on this road.,الحوادث مسموح بيها في الطريق هذي.
10176381,These accusations are unfounded.,هالاتهامات ما عندها حتى أساس.
10176385,"The most ""bloodthirsty predator"" is thought to be the automobile, exceeding by the number of its human victims all tigers, sharks, and vipers taken together.",يُعتَبر &#34;أكثر مفترس دموي&#34; هو السيارة، اللي تفوق بعدد ضحاياها من البشر على جميع النمور، القروش، والأفاعي مع بعضهم.
10176386,What's the weather like here in the spring?,كيفاش الجو هنا في الربيع؟
10176391,Tom didn't get what Mary asked him to get for her.,توم ما جابش اللي ماري طلبتو منو.
10176392,It was a small and unremarkable bakery.,كانت مخبزة صغيرة وما فيهاش حاجة تميزها.
10176394,I got upgraded to first class.,طلعتلي ترقية للدرجة الأولى.
10176396,It would enable them to manipulate Tom.,باش يمكنهم يتحكمو في توم.
10176404,Tom got into a bar fight and used a pool cue as a weapon.,توم دخل في عركة في بار واستعمل عصا البلياردو كسلاح.
10176416,"When I cough twice, that's your cue to come into the room.",كي نسعل مرتين، هذيك الإشارة باش تدخل للغرفة.
10176429,Protesters clashed with police at the demonstration.,المحتجين تصادموا مع البوليس في المظاهرة.
10176432,Why are you lording it over my household?,علاش تحب تعمل فيها سيد على داري؟
10176433,He's wriggling like a worm.,راه يتلوى كيف الدودة.
10176438,Why don't we paint the ceiling first?,علاش ما نبدأوش نلوّنو السقف قبل؟
10176439,Tom can count to ten in French.,توم ينجم يعد للعشرة بالفرنسية.
10176481,"Right now, I think I'll just sit down.",تاو نتصور باش نقعد برك.
10176484,Tom builds houses for a living.,توم يبني في الديار باش يعيش.
10176521,Why is it so quiet?,علاش الدنيا هادية هكة؟
10176528,Tom was in the back.,توم كان في الخلف.
10176567,Why don't we try doing this together?,علاش ما نجربوش نعملو هكا مع بعضنا؟
10176703,Tom did what he was asked.,توم عمل اللي طلبوه منو.
10176710,You could've had me do it.,كان تنجم تخليّني نعملها.
10176765,"As soon as you're ready, call me.",كي تكون حاضر، عيّطلي.
10176780,Tom didn't tell the police what he saw.,توم ما قالش للبوليس شنو شاف.
10176826,"If any trouble can occur, it will.",إذا فما مشكلة تنجم تصير، راهي باش تصير.
10164125,Tom held on to the rope for dear life.,توم تشد في الحبل بحياتو.
10164180,I just want to be alone for a while.,نحب نكون وحدي شوية.
10164181,Their house is for sale.,دارهم للبيع.
10164225,The bellboy held out his hand.,الشيفور مدّ يدو.
10164238,Tom and Mary held each other closely.,توم وماري حضنوا بعضهم بقوة.
10164265,"Yeah, I'm crazy.",إييه، أنا مهبول.
10164431,Tom and Mary are sitting in the bleachers.,توم وماري قاعدين في المدرجات.
10164437,You know that you have lost everything.,تعرف اللي خسرت كل شي.
10164600,Mary smiled back.,ماري ضحكتلها.
10164603,The telephone rang every few minutes.,التليفون كان يرن كل شوية.
10164750,I won't hold that against you.,ما نحبسهاش عليك.
10164751,We were rich at the time.,كنا غنيين في الوقت ذاك.
10164856,I'm hauling produce.,نقل في الخضرة والغلة.
10164858,The video cameras are mainly there to deter thieves.,الكاميرات الفيديو موجودين أساسًا باش يردعوا السراق.
10164891,I only watched the highlights.,تفرجت كان على الملخصات.
10164893,I only watched the highlight reel.,تفرجت كان في الملخص.
10164895,Do you have a highlighter I can borrow?,عندك ماركر نجم نستعيرو؟
10164896,Do you like ginger?,تحب الزنجبيل؟
10164933,Check the itinerary.,شيك على البرنامج.
10164967,Tom gets his drinking water from a well on his property.,توم يجيب في ماء الشرب متاعو من بير في ملكو.
10164998,"John challenged Tom to a fight after school by the basketball court, but Tom never showed up.",جون تحدى توم في عركة بعد المدرسة عند ملعب الباسكت، أما توم ما جاش.
10165104,One of the female police officers was holding the baby.,واحدة من البوليسيات كانت شادة البيبي.
10165117,Do you like ale?,تحب البيرة؟
10165136,Tom was holding a short piece of pipe in his left hand and a knife in his right.,توم كان شادّ حديدة قصيرة بيده اليسار وسكّين بيده اليمين.
10165243,These are hard to get a hold of.,هاذوما صعيب باش تلقاهم.
10165318,Somebody was trying to break in.,فمّا حد كان يحاول يقتحم.
10165319,Tom ordered a cup of coffee for himself and a cup of cocoa for Mary.,توم طلب قهوة ليه وكاكاو لماري.
10165348,Jugurtha was captured by the Romans.,يوغرطة تاقف من الرومان.
10165349,"Jugurtha was betrayed by his father-in-law, Bocchus, who captured him and delivered him to the Romans.",يوغرطة خانوا حماه بوكوس، اللي قبض عليه وسلّمو للرومان.
10165421,Tom held the phone in his left hand.,توم شادد التليفون بيده اليسار.
10165465,Jugurtha conducted a war against the Romans.,يوغرطة عمل حرب ضد الرومان.
10165582,Rome sent troops to North Africa in order to deal with Jugurtha.,روما بعتت عسكر لأفريقيا الشمالية باش يتصرفوا مع يوغرطة.
10165588,Where did you get the motorcycle?,منين جبت الموتور؟
10165734,Do we have a map?,عندنا كارتة؟
10165755,Tom has narcolepsy.,توم عندو النعاس المفاجئ.
10165879,"Tom did that for Mary, not for me.",توم عمل هكاكة لخاطر ماري، موش لخاطري أنا.
10165910,Tom dodged the draft.,توم تهرب من الخدمة العسكرية.
10165951,That should hold true for the rest of this year.,هذا يلزم يكون صحيح لبقية العام هذا.
10166298,Smoke more.,دخن أكثر.
10166315,The children were singing and holding hands.,الصغار كانوا يغنيو و ماسكين فيدي بعضهم.
10166329,Tom and Mary hit it off very well.,توم وماري تفاهِموا مع بعضهم برشا.
10166334,Tom ordered the item.,توم طلب السلعة.
10166458,"In Brazil, you will eat a lot of delicious fruit.",في البرازيل، باش تاكل برشا غلة بنينة.
10166501,Is the salad tasty?,السلطة بنينة؟
10166549,He is eating rice.,هو ياكل في الروز.
10166552,You are eating rice.,إنت تاكل في الروز.
10166554,The artist is painting a picture.,الفنان يرسم في لوحة.
10166558,Birds love rice.,العصافير تحب الروز.
10166561,Sake is made from rice.,السّاك يتعمل من الرز.
10166724,All the guests were holding glasses.,كل الضيوف كانوا شادين كيسان.
10166729,I made good purchases.,عملت شرايات باهية.
10166732,I don't like sitting next to Tom.,ما نحبش نقعد بجنب توم.
10166736,Seven times seven is forty-nine.,سبعة في سبعة يعمل تسعة وأربعين.
10166971,"Scientists have determined that on Europa, beneath a thick layer of ice, is a salty ocean whose conditions may be suitable for life.",العلماء قرروا اللي في أوروبا، تحت طبقة سميكة من الجليد، فما محيط مالح اللي ظروفه تنجم تكون مناسبة للحياة.
10167035,Venice is one of Europe's most romantic cities.,فينيسيا وحدة من أكثر المدن الرومانسية في أوروبا.
10167149,Tom then went to Australia.,توم بعد مشى لأستراليا.
10167175,I learned how to ride a motorbike when I was sixteen years old.,تعلمت كيفاش نسوق الموتور كي كان عمري ستة عشر سنة.
10167298,That's a change that we can all hope for.,هذا تغيير اللي نجموا الكلنا نتمناوه.
10167442,Don't sit down!,ما تقعدش!
10167444,I can sell this for you if you want me to.,نجم نبيعلك هاذا كان تحب.
10167446,This writer is Canadian.,هالكاتب كندي.
10167487,Maybe there's hope for Tom after all.,يمكن فما أمل لتوم بعد كل شي.
10167761,What is your son doing?,شنوة يعمل ولدك؟
10168749,I saw another enter the mosque.,شفت واحد آخر يدخل للجامع.
10169101,Remember when gas wasn't so crazy expensive?,تفتكر وقت البنزين ما كانش غالي برشة؟
10169137,I hope it still works.,نرجى مازال يخدم.
10169139,Tom hopes the man who killed his father rots in prison.,توم يتمنى الراجل اللي قتل بوه يتعفن في الحبس.
10169218,Listen carefully to what I'm going to tell you.,اسمع مليح للي باش نقولك.
10169219,"As for me, I'm not satisfied with the result of the examination the other day.",بالنسبة لي، ما راضيتش على نتيجة الامتحان اللي فات.
10169340,I hope Tom is doing well.,نرجو يكون توم لاباس.
10169343,I fell asleep during the lesson.,رقدت في وسط الدرس.
10169455,"As a robot, I find the idea of emotions ""confusing.""",كنّوبو، نلقى فكرة العواطف &#34;محيّرة&#34;.
10169463,Let's hope nobody does that.,إن شاء الله حد ما يعمل هكا.
10169533,Did he look at me?,هو شاف فيا؟
10169536,Where should I be looking?,وين يلزمني نخمّم؟
10169537,Are there many of them there?,هل فمّا برشة منهم غادي؟
10169538,Are there a lot of them there?,فمّا برشة منهم غادي؟
10169564,They're encouraging their children to learn Berber.,هما يشجعوا في صغارهم باش يتعلموا الأمازيغية.
10169691,Is there a leak?,فمّا تسرّب؟
10169692,What are we having?,شنوة باش ناكلو؟
10169693,I've never tried maple syrup.,عمري ما جربت شراب القيقب.
10170142,"Unfortunately, neither of them are alive anymore.",للأسف، حتى حد فيهم ما عاد حي.
10170445,Our house got broken into.,دارنا تسرقت.
10170463,Tom led me on.,توم ضحك عليا.
10170490,Tom started having those dreams again.,توم بدا يحلم بالأحلام هاذي مرة أخرى.
10170599,Tom planned the whole thing months in advance.,توم خطط لكل شي من شهور قبل.
10170788,Your mileage may vary.,المسافة اللي تقطعها ممكن تختلف.
10170801,She's washing them.,هي تغسل فيهم.
10170805,We hope to do this forever.,نتمناو نعملو هكا ديما.
10170809,Tom went to church every Sunday.,توم كان يمشي للكنيسة كل نهار أحد.
10170864,I really hope that no one saw us doing that.,نرجو برشا اللي حتى حد ما شافناش و احنا نعملو في هكا.
10171029,This is all a big mix up. I'm not the girl you're looking for.,هاذي الكلها غلطة كبيرة. أنا موش البنت اللي قاعدين تدوّروا عليها.
10171080,That gives us some hope.,هذا يعطينا شوية أمل.
10171106,The game was won by the better side.,الماتش ربحوه اللي كانوا خير.
10171107,Did you know that Tom was Catholic?,تعرف اللي توم كان كاثوليكي؟
10171108,Have we got a map?,عندنا كارتة؟
10171109,He presented another project to the committee.,قدّم مشروع آخر للجنة.
10171110,He put another project before the committee.,حط مشروع آخر قدام اللجنة.
10171118,That's not bad as well.,حتى هذي ماهيش خايبة.
10171119,"That's not bad, either.",حتى هذي ماهيش خايبة.
10171120,Tom painted the part of the fence where the paint had flaked off.,توم صبغ الجزء من السور اللي الطلاء متاعو تقشر.
10171127,The concert hall is a dome-shaped building visible for miles around.,قاعة الحفلات هي بناية على شكل قبة تنجم تشوفها من بعيد.
10171128,The concert hall is a conspicuous dome-shaped building.,قاعة الحفلات هي بناية واضحة على شكل قبة.
10171129,We will refund you the surplus amount.,باش نرجعولك المبلغ الزايد.
10171130,We will reimburse you with the surplus amount.,باش نرجعولك الفلوس الزايدة.
10171131,"After her accident, Mary relied on a walking frame to move about.",بعد الحادثة متاعها، ماري ولات تعتمد على مشاية باش تتحرك.
10171140,"We're buying a kilo of French beans, two kilos of potatoes, a lettuce, half a kilo of tomatoes, and two cucumbers.",باش نشريو كيلو لوبيا فرنسية، زوز كيلو بطاطا، قصرية، نص كيلو طماطم، وزوز خيار.
10171141,Why don't we discuss this matter later?,علاش ما نحكيوش في الموضوع هذا بعدين؟
10171142,The strong wind whipped the hats off the children's heads.,الريح القوية طيّرت القبّعات من فوق روس الصغار.
10171148,Visit our roof terrace with its view across the whole city.,زور التيراس متاعنا اللي يطل على المدينة الكل.
10171149,"""May I come in?"" ""Yes, of course.""",&#34;نجم ندخل؟&#34; &#34;إي، بالطبيعة.&#34;
10171152,My cat jumped when a soap bubble burst before her nose.,قطوسي نطت كيفاش فقعت فقّاعة صابون قدام خشمها.
10171153,My cat started when a soap bubble burst in front of her nose.,قطوسيتي تفجعت كي طاحت فقاقيع الصابون قدام خشمها.
10171174,Take your time. It's not that urgent.,خذ راحتك. الموضوع موش مستعجل.
10171175,Take your time. It isn't that urgent.,خذ راحتك. موش مستعجل لهالدرجة.
10171176,We're all just people.,احنا الكلنا ناس.
10171177,We are all just people.,احنا الكلنا ناس برك.
10171186,Did you hear the birds singing?,سمعت العصافير تغني؟
10171205,I hope that the police catch the guy who stabbed me.,نرجو إنو البوليس يقبضو على الشخص اللي طعنّي.
10171244,"I don't have a can opener, so I can't get this can open.",ما عنديش فتّاحة علب، دونك ما نجمش نحلّ هالعلبة.
10171247,"No one has arrived yet, but we're expecting about thirty people.",مازال حد ما وصل، أما نستناو في حوالي ثلاثين واحد.
10171349,Let's buy a bicycle for Tom.,خلينا نشريو دراجة لتوم.
10171366,We're trying to instill a feeling of hope.,نحاولو نبثو شعور بالأمل.
10171373,Tom remembers Mary.,توم يتفكر ماري.
10171412,I was hoping it was a joke.,كنت نتمنى تكون مزحة.
10171413,Tom never found out who Mary was.,توم عمره ما عرف شكون ماري.
10171415,I don't think that Tom will forget this.,ما نظنش اللي توم باش ينسا هذي.
10171437,I don't think Tom will forget this.,ما نظنش اللي توم باش ينسا هاذي.
10171441,Isaac Newton knew a ton.,إسحاق نيوتن كان يعرف برشة.
10171459,Tom wasn't in the park.,توم ما كانش في البارك.
10171468,Stars shine brighter in the darkness.,النجوم تلمع أكثر في الظلام.
10171479,The doctors didn't believe Tom was in danger of dying.,الدكاترة ما صدقوش اللي توم كان في خطر الموت.
10171488,That was just the reaction I was hoping for.,هذيكة بالضبط الرياكسيون اللي كنت نستنى فيها.
10171494,Tom's French sounded perfect to me.,الفرنسية متاع توم كانت تبدى مثالية بالنسبة لي.
10171495,Cookie dropped the mouse on Tom to wake him up.,كوكي طيّح الفار على توم باش يفيّقو.
10171498,"One by one, friends came up to speak to me.",واحد بواحد، صحابي جاو باش يهدروا معايا.
10171537,You can sleep when you're dead.,تنجم ترقد كي تموت.
10171557,"Yanni named his daughter ""Rima.""",ياني سمّى بنته &#34;ريما&#34;.
10171558,Yanni doesn't even remember his name.,ياني حتى ما يذكرش اسمو.
10171559,Yanni loves his mother.,ياني يحب أمو.
10171560,Yanni went there to fetch Rima.,ياني مشى لهوني باش يجيب ريما.
10171561,Yanni should stop talking.,يلزم ياني يبطل يحكي.
10171568,Yanni is ready to go.,ياني حاضر باش يمشي.
10171571,Yanni should get dressed.,يلزم ياني يلبس.
10171572,Yanni will come back here.,ياني باش يرجع لهنا.
10171579,Let's get dressed.,يلا نلبسو.
10171580,Yanni was getting dressed.,ياني كان يلبس.
10171581,Yanni didn't even get dressed.,ياني حتى ما لبسش.
10171584,Those hopes have been dashed.,هالأمال تحطمت.
10171586,Tom did nothing to deserve that.,توم ما عمل حتى شي يستاهل هكا.
10171595,Tom flew into a childish fit of rage and threw his glasses on the floor with enough force to break them.,توم تحمس كي الصغار و زرب نظاراتو على الأرض بقوة حتى كسّرهم.
10171628,Yanni writes his articles in a refreshing narrative.,ياني يكتب مقالاتو بطريقة سردية منعشة.
10171723,She's afraid of me.,هي تخاف مني.
10171918,We never lost hope.,عمرنا ما فقدنا الأمل.
10171920,Tom began to study French last year.,توم بَدَا يقرا في الفرنساوي العام اللي فات.
10171963,It seems too much to hope for.,يظهرلي برشا باش نتمناو.
10171972,Tom cared about Mary.,توم كان يهمّو أمر ماري.
10172067,Tom had a French class with Mary.,توم كان عندو حصة فرنسية مع ماري.
10172418,The complex houses married and single soldiers and their families.,المجمع يسكن فيه العسكر المتزوجين والعزّاب وعائلاتهم.
10172467,Tom ate lunch at a small restaurant near the hotel where he was staying.,توم كلا الغداء في مطعم صغير قريب للفندق وين كان يقيم.
10172525,Her grandmother is a charming lady.,جدتها مرأة ساحرة.
10172526,His grandmother is a charming lady.,جدته مرأة ساحرة.
10172527,Their grandmother is a charming lady.,جدتهم مرأة ساحرة.
10172528,Tom doesn't think we can put this off.,توم ما يظنش اللي نجموا نأجلو هاذا.
10172531,Tom doesn't think that we can put this off.,توم ما يظنش اللي نجموا نأجلو هاذا.
10172538,We were hoping we'd get here first.,كنا نأملو نوصلو لهنا قبل.
10172623,"At least, she did not die in vain.",على الأقل، ما ماتتش على الفاضي.
10172669,Smoking isn't good for one's health.,التدخين موش باهي للصحة.
10172672,Smoking isn't good for your health.,التدخين موش باهي لصحتك.
10172673,"It's not possible to foresee everything, so just live and enjoy life.",ماكش تنجم تتوقع كل شي، عيش و تمتع بالحياة.
10172684,All of Tom's classmates speak French.,كل زملاء توم يحكيو بالفرنسية.
10172685,"Although he did very well on the exam, his spoken Chinese is not as good as yours.",بالرغم اللي عمل مليح برشا في الامتحان، الصينية متاعو في الكلام ما هيش كيف متاعك.
10172687,The players need to take turns throwing a die.,اللاعبين لازم ياخذوا دورهم في رمي الزهر.
10172689,In the grave lay a skeleton with a split skull.,في القبر كان هيكل عظمي برأس مشقوق.
10172713,Did you know Tom was Catholic?,كنتي تعرف اللي توم كاثوليكي؟
10172714,"If you see Tom today, please tell him he's invited to my party, too.",إذا تشوف توم اليوم، قولو راهو معزوم لعيد ميلادي زادة.
10172715,I was hoping that it was a joke.,كنت نتمنى تكون مزحة.
10172716,They kept contradicting themselves.,كانوا ديما يناقضوا في رواحهم.
10172723,Tom is at least thirty years old.,توم عمره على الأقل ثلاثين سنة.
10172762,It's all grist to his mill.,كل شي يجي في صالحو.
10172764,"Mary only uses lowercase letters when she texts, and she rarely uses punctuation.",ماري تستعمل كان الحروف الصغيرة كي تبعث مساجات، ونادرا ما تستعمل علامات الترقيم.
10172765,I can't stand being around Tom's friends because they're incredibly obnoxious.,ما نجمش نتحمل نكون مع صحاب توم خاترهم مزعجين برشة.
10172766,You should sit up straight.,يلزمك تقعد مستقيم.
10172767,Tom didn't learn French in school. He learned it from his parents.,توم ما تعلمش الفرنسية في المدرسة. تعلمها من والديه.
10172768,"Don't worry, Mum. He's not fussy about food – he'll eat anything.",ما تقلقيش يا أمي. هو ما يتشرطش في الماكلة - ياكل أي حاجة.
10172789,You mustn't leave any tell-tale signs.,ما لازمش تخلّي حتى أثر.
10172790,He's arriving unannounced.,هو جاي من غير ما يعلم.
10172796,Tom rang during your absence.,توم عيّط وقت اللي كنت غايب.
10172803,I am slowly acclimatising myself to the harsh climate here.,بشوي بشوي قاعد نتعود على المناخ القاسي هوني.
10172804,I am slowly getting used to the harsh climate here.,بشوي بشوي وليت نتعود على المناخ القاسي هوني.
10172805,I am slowly adjusting to the harsh climate here.,بشوي بشوي قاعد نتأقلم مع المناخ القاسي هوني.
10172806,"Bit by bit, I'm adapting to the harsh climate here.",شوية بشوية، قاعد نتأقلم مع المناخ القاسي هوني.
10172813,He's having lunch at a cafeteria.,هو قاعد يتغدى في الكافيتيريا.
10172814,He's going to have lunch at a cafeteria.,باش يمشي يتغدى في كافيتيريا.
10172815,Tom did what Mary asked.,توم عمل اللي طلبتو ماري.
10172816,He has his lunch at a cafeteria.,يتغدى في الكافيتيريا.
10172817,Tom had his lunch at the cafeteria.,توم كلا الغداء متاعو في الكافيتيريا.
10172825,"If that book were more interesting, I'd finish reading it.",كان الكتاب هاذا أكثر تشويق، كنت نكمل نقراه.
10172829,"Here's the letter, addressed and stamped.",هاهو الظرف، مكتوب عليه العنوان ومختوم.
10172830,"Here's that letter, addressed and stamped.",هاك المكتوب، معنوَن ومختوم.
10172831,Tom carried a cup filled to the brim with coffee through the hall without spilling a drop.,توم شال فنجان معبّي قهوة للآخر وعدّى بيه في الكوريذور من غير ما يطيّح قطرة.
10172875,Have you seen my keys? I thought that I left them on the dining room table.,شفت مفاتيحي؟ كنت نظن اللي خليتهم على طاولة السفرة.
10172876,"Just a few days ago, things looked a lot better.",منذ أيامات برك، الأمور كانت تبان خير برشة.
10172881,Tom told us how he met Mary.,توم حكى لنا كيفاش تقابل مع ماري.
10172924,"With a little bit of hesitation, Tom stepped into the van and pulled a wad of cash out of his jacket pocket.",بشوية تردد، توم طلع للفان وخرج كومة فلوس من جيب جاكيتو.
10172925,Tom was so out of shape that he couldn't run a lap around the block without hyperventilating.,توم كان حالتو البدنية تعبانة لدرجة اللي ما ينجمش يجري دورة كاملة حول البلوك من غير ما يتنفس بصعوبة.
10172989,We sat in silence for a little while.,قعدنا ساكتين شوية.
10173028,Yanni's article was translated into Berber.,المقالة متاع ياني تترجمت للأمازيغية.
10173030,Yanni expressed his support for Algeria.,ياني عبّر على دعمو للجزاير.
10173031,China assured its support for Algeria.,الصين أكدت دعمها للجزاير.
10174649,Aubergine is the main ingredient of some vegetarian dishes with tomato sauce.,الباذنجان هو المكوّن الرئيسي في بعض الأكلات النباتية بالصلصة.
10174863,What makes a good mystery story?,شنوة اللي يخلي حكاية غموض تكون باهية؟
10174900,May I sit here for a while?,نجم نقعد هنا شوية؟
10175201,Why don't we organize a search party?,علاش ما نعملوش مجموعة تفتيش؟
10175219,He wears a hat.,يلبس في طربوش.
10175220,Tom didn't take that well.,توم ما تقبلهاش بالباهي.
10175300,Tom was left behind to face the music alone.,توم تخلى وحدو باش يواجه الموسيقى.
10175442,Tom wears a tuxedo.,توم لابس سموكن.
10175659,Tom wears a cap.,توم لابس كاسكيت.
10175663,Tom wears a leather jacket.,توم لابس جاكيت جلد.
10175665,Tom is the only one who's sober.,توم هو الوحيد اللي موش سكران.
10175685,He probably saw me.,يمكن شافني.
10175688,Why don't we discuss this over lunch?,علاش ما نحكيوش في الموضوع هاذا وقت الغداء؟
10175689,Tom lived next door to us.,توم كان ساكن جنبنا.
10175690,Tom did an idiotic thing.,توم عمل حاجة سخيفة.
10175692,Tom wears a coat.,توم لابس كبّوط.
10175693,Tom wears a coat that's too large for him.,توم لابس كبّوط كبير عليه برشة.
10175733,Tom faced Mary.,توم واجه ماري.
10175770,Why don't we worry about that later?,علاش ما نخليوها لتالي؟
10175847,Why don't we try to be more tolerant?,علاش ما نجربوش نكونو أكثر تسامح؟
10175853,Tom didn't have time to respond.,توم ما كانش عندو وقت باش يجاوب.
10175854,"The Lord said to Abram, ""Leave your country, and your relatives, and your father's house, and go to the land that I will show you.""",قال الرب لإبراهيم: &#34;اخرج من بلادك، ومن عيلتك، ومن دار بوك، وامشي للأرض اللي باش نوريلك.&#34;
10175855,"The Lord said to Abram, ""Leave your country, and your birthplace, and your father's house, and go to the land that I will show you.""",قال الرب لابرام، &#34;اخرج من بلادك، ومن مسقط راسك، ومن دار بوك، وامشي للبلاد اللي باش نوريلك.&#34;
10175904,Why don't we do this again next year?,علاش ما نعملوش هكا العام الجاي؟
10175905,Tom didn't want to go to the zoo.,توم ما حبش يمشي لحديقة الحيوانات.
10175906,That is the way it works.,هكّا تخدم الحكاية.
10175926,I hope that our shop doesn't get vandalized.,نرجو اللي محلنا ما يتكسرش.
10175927,Tom fell out of a third-floor window.,طوم طاح من شباك الطابق الثالث.
10175928,I'm hoping that that's the case.,نتمناها تكون هكا.
10175929,I hope that we can do that together someday.,نرجو إنو نجموا نعملوا هكا مع بعضنا نهار.
10175952,Tom is a nurse.,توم ممرض.
10175953,Why is it so quiet in here?,علاش هوني هكا هادي؟
10176041,I've noticed many similarities between Spanish and French conjugations.,لحظت برشا تشابهات بين تصريفات الإسبانية والفرنسية.
10176067,I saw a number of old couples sitting on benches in the park.,شفت برشة عرسان قدام قاعدين على القعاديات في الجردة.
10176068,Tom hit a three-run homer.,توم ضرب هومر بثلاثة نقاط.
10176103,Tom asked me where I'd been.,توم سألني وين كنت.
10176105,I'd like to know Tom better.,نحب نعرف توم أكثر.
10176110,I was surprised by what Tom told me.,تفاجأت باللي قالهولي توم.
10176123,Tom will go last.,توم باش يمشي لخر.
10176139,Is this house for sale?,الدار هاذي للبيع؟
10176144,All the stores are already closed.,كل المحلات مسكرة توة.
10176188,Where did he buy this motorcycle?,منين شرا هالموتور؟
10176223,Take your time. It's not urgent.,خذ راحتك. موش مستعجل.
10176225,Add him.,زيدو.
10176226,"If the book had been more interesting, I'd have read it to the end.",لو كان الكتاب أكثر تشويق، كنت باش نقراه للآخر.
10176280,He hasn't cleaned her room yet.,مازال ما نظفش بيتها.
10176317,I've always been the number one.,ديما كنت النمرو واحد.
10176318,Watch what you're doing. You almost killed Tom!,راقب شنو قاعد تعمل. كنت بش تقتل توم!
10176320,Tom is a shy and insecure young man.,توم شاب خجول وما عندوش ثقة في روحو.
10176322,I'm starting to feel pretty insecure.,بديت نحس روحي مقلق برشة.
10176323,I'm a director.,أنا مخرج.
10176334,"So little water, it's really a trickle.",شوية ماء برشة، راهو قطرة قطرة.
10176335,"A balalaika has 3 strings, a bass guitar has 4, and a normal guitar has 6 or 7.",البالالايكا فيها 3 أوتار، الباس جيتار فيها 4، والجيتار العادي فيه 6 ولا 7.
10176347,Hasn't your husband run away yet?,مازالش راجلك هرب؟
10176357,Whoever wrote this is really talented.,اللي كتب هاذا عندو برشا موهبة.
10176358,Tom has class.,توم عندو قراية.
10176387,The candy store is closed.,الحانوت متاع الحلوى مسكر.
10176390,There is nothing remarkable about them.,ما فيهم شي يلفت الانتباه.
10176419,Feel the rhythm.,حس بالنغمة.
10176568,Tom moved out yesterday.,توم خرج من الدار البارح.
10176606,Anyone could've bought one of these.,أي واحد كان ينجم يشري واحد من هاذم.
10176608,Tom has been trying to set me up with his sister for a long time.,توم قاعد يحاول يعرّفني على أخته من مدة طويلة.
10176653,People always do things like that.,الناس ديما يعملوا كيف هكا.
10176658,Tom did his best not to cry.,توم عمل جهدو باش ما يبكيش.
10176702,Both of us speak French.,زوزنا نحكيو فرونسي.
10176844,"But if it be from the sick, or if it be in any way soiled, clean it.",أما إذا كان من المريض، ولا إذا كان متوسخ بأي طريقة، نقّيه.
10176852,Something really alarmed me.,حاجة خوفتني برشة.
10176855,I'm asking two hundred euros for that still life.,نطلب في ميتين أورو على هذيك الطبيعة الصامتة.
10176858,I'm offering two hundred euros for that still life.,نعرض ميتين أورو على هذيك الطبيعة الصامتة.
10176860,My friends gave me that still life as a present.,أصحابي عطاوني هدية الطبيعة الصامتة هذيك.
10176863,"Tom climbed the ladder slowly and hesitantly, afraid of falling.",توم طلع السلم بشوية بشوية وبتردد، خايف يطيح.
10176869,Why don't we play cards after dinner?,علاش ما نلعبوش كارتة بعد العشاء؟
10176870,A volley of artillery fire completely destroyed the buildings.,وابل من القذائف دمر البنايات الكل.
10176871,Tom is taking French lessons.,توم قاعد ياخو في دروس فرنسية.
10176875,She displayed very unusual behavior.,هي وريت تصرفات غريبة برشة.
